"","site_no","datetime","discharge_mean","gage"
"1",2087500,1927-08-01,540,"Clayton"
"2",2087500,1927-08-02,1760,"Clayton"
"3",2087500,1927-08-03,1080,"Clayton"
"4",2087500,1927-08-04,1250,"Clayton"
"5",2087500,1927-08-05,2020,"Clayton"
"6",2087500,1927-08-06,1190,"Clayton"
"7",2087500,1927-08-07,511,"Clayton"
"8",2087500,1927-08-08,366,"Clayton"
"9",2087500,1927-08-09,557,"Clayton"
"10",2087500,1927-08-10,704,"Clayton"
"11",2087500,1927-08-11,704,"Clayton"
"12",2087500,1927-08-12,489,"Clayton"
"13",2087500,1927-08-13,366,"Clayton"
"14",2087500,1927-08-14,270,"Clayton"
"15",2087500,1927-08-15,205,"Clayton"
"16",2087500,1927-08-16,252,"Clayton"
"17",2087500,1927-08-17,179,"Clayton"
"18",2087500,1927-08-18,155,"Clayton"
"19",2087500,1927-08-19,346,"Clayton"
"20",2087500,1927-08-20,489,"Clayton"
"21",2087500,1927-08-21,254,"Clayton"
"22",2087500,1927-08-22,423,"Clayton"
"23",2087500,1927-08-23,805,"Clayton"
"24",2087500,1927-08-24,446,"Clayton"
"25",2087500,1927-08-25,1370,"Clayton"
"26",2087500,1927-08-26,6540,"Clayton"
"27",2087500,1927-08-27,4190,"Clayton"
"28",2087500,1927-08-28,1820,"Clayton"
"29",2087500,1927-08-29,1080,"Clayton"
"30",2087500,1927-08-30,704,"Clayton"
"31",2087500,1927-08-31,605,"Clayton"
"32",2087500,1927-09-01,1200,"Clayton"
"33",2087500,1927-09-02,1640,"Clayton"
"34",2087500,1927-09-03,1640,"Clayton"
"35",2087500,1927-09-04,2080,"Clayton"
"36",2087500,1927-09-05,1130,"Clayton"
"37",2087500,1927-09-06,630,"Clayton"
"38",2087500,1927-09-07,511,"Clayton"
"39",2087500,1927-09-08,511,"Clayton"
"40",2087500,1927-09-09,1030,"Clayton"
"41",2087500,1927-09-10,1430,"Clayton"
"42",2087500,1927-09-11,964,"Clayton"
"43",2087500,1927-09-12,630,"Clayton"
"44",2087500,1927-09-13,446,"Clayton"
"45",2087500,1927-09-14,346,"Clayton"
"46",2087500,1927-09-15,346,"Clayton"
"47",2087500,1927-09-16,308,"Clayton"
"48",2087500,1927-09-17,290,"Clayton"
"49",2087500,1927-09-18,290,"Clayton"
"50",2087500,1927-09-19,252,"Clayton"
"51",2087500,1927-09-20,308,"Clayton"
"52",2087500,1927-09-21,308,"Clayton"
"53",2087500,1927-09-22,366,"Clayton"
"54",2087500,1927-09-23,385,"Clayton"
"55",2087500,1927-09-24,308,"Clayton"
"56",2087500,1927-09-25,270,"Clayton"
"57",2087500,1927-09-26,235,"Clayton"
"58",2087500,1927-09-27,252,"Clayton"
"59",2087500,1927-09-28,205,"Clayton"
"60",2087500,1927-09-29,205,"Clayton"
"61",2087500,1927-09-30,235,"Clayton"
"62",2087500,1927-10-01,205,"Clayton"
"63",2087500,1927-10-02,192,"Clayton"
"64",2087500,1927-10-03,205,"Clayton"
"65",2087500,1927-10-04,405,"Clayton"
"66",2087500,1927-10-05,346,"Clayton"
"67",2087500,1927-10-06,366,"Clayton"
"68",2087500,1927-10-07,385,"Clayton"
"69",2087500,1927-10-08,290,"Clayton"
"70",2087500,1927-10-09,996,"Clayton"
"71",2087500,1927-10-10,1950,"Clayton"
"72",2087500,1927-10-11,1950,"Clayton"
"73",2087500,1927-10-12,1250,"Clayton"
"74",2087500,1927-10-13,1690,"Clayton"
"75",2087500,1927-10-14,2800,"Clayton"
"76",2087500,1927-10-15,2500,"Clayton"
"77",2087500,1927-10-16,1190,"Clayton"
"78",2087500,1927-10-17,805,"Clayton"
"79",2087500,1927-10-18,704,"Clayton"
"80",2087500,1927-10-19,654,"Clayton"
"81",2087500,1927-10-20,630,"Clayton"
"82",2087500,1927-10-21,557,"Clayton"
"83",2087500,1927-10-22,446,"Clayton"
"84",2087500,1927-10-23,385,"Clayton"
"85",2087500,1927-10-24,346,"Clayton"
"86",2087500,1927-10-25,346,"Clayton"
"87",2087500,1927-10-26,327,"Clayton"
"88",2087500,1927-10-27,346,"Clayton"
"89",2087500,1927-10-28,270,"Clayton"
"90",2087500,1927-10-29,270,"Clayton"
"91",2087500,1927-10-30,220,"Clayton"
"92",2087500,1927-10-31,205,"Clayton"
"93",2087500,1927-11-01,235,"Clayton"
"94",2087500,1927-11-02,220,"Clayton"
"95",2087500,1927-11-03,220,"Clayton"
"96",2087500,1927-11-04,252,"Clayton"
"97",2087500,1927-11-05,270,"Clayton"
"98",2087500,1927-11-06,235,"Clayton"
"99",2087500,1927-11-07,220,"Clayton"
"100",2087500,1927-11-08,252,"Clayton"
"101",2087500,1927-11-09,270,"Clayton"
"102",2087500,1927-11-10,290,"Clayton"
"103",2087500,1927-11-11,346,"Clayton"
"104",2087500,1927-11-12,327,"Clayton"
"105",2087500,1927-11-13,327,"Clayton"
"106",2087500,1927-11-14,290,"Clayton"
"107",2087500,1927-11-15,366,"Clayton"
"108",2087500,1927-11-16,346,"Clayton"
"109",2087500,1927-11-17,412,"Clayton"
"110",2087500,1927-11-18,605,"Clayton"
"111",2087500,1927-11-19,489,"Clayton"
"112",2087500,1927-11-20,910,"Clayton"
"113",2087500,1927-11-21,605,"Clayton"
"114",2087500,1927-11-22,405,"Clayton"
"115",2087500,1927-11-23,346,"Clayton"
"116",2087500,1927-11-24,327,"Clayton"
"117",2087500,1927-11-25,290,"Clayton"
"118",2087500,1927-11-26,290,"Clayton"
"119",2087500,1927-11-27,270,"Clayton"
"120",2087500,1927-11-28,235,"Clayton"
"121",2087500,1927-11-29,308,"Clayton"
"122",2087500,1927-11-30,290,"Clayton"
"123",2087500,1927-12-01,308,"Clayton"
"124",2087500,1927-12-02,704,"Clayton"
"125",2087500,1927-12-03,1560,"Clayton"
"126",2087500,1927-12-04,5260,"Clayton"
"127",2087500,1927-12-05,8340,"Clayton"
"128",2087500,1927-12-06,7180,"Clayton"
"129",2087500,1927-12-07,5440,"Clayton"
"130",2087500,1927-12-08,4950,"Clayton"
"131",2087500,1927-12-09,4020,"Clayton"
"132",2087500,1927-12-10,3020,"Clayton"
"133",2087500,1927-12-11,1760,"Clayton"
"134",2087500,1927-12-12,1310,"Clayton"
"135",2087500,1927-12-13,1130,"Clayton"
"136",2087500,1927-12-14,1080,"Clayton"
"137",2087500,1927-12-15,1080,"Clayton"
"138",2087500,1927-12-16,1710,"Clayton"
"139",2087500,1927-12-17,5040,"Clayton"
"140",2087500,1927-12-18,4570,"Clayton"
"141",2087500,1927-12-19,4480,"Clayton"
"142",2087500,1927-12-20,2800,"Clayton"
"143",2087500,1927-12-21,1430,"Clayton"
"144",2087500,1927-12-22,1190,"Clayton"
"145",2087500,1927-12-23,1080,"Clayton"
"146",2087500,1927-12-24,964,"Clayton"
"147",2087500,1927-12-25,910,"Clayton"
"148",2087500,1927-12-26,857,"Clayton"
"149",2087500,1927-12-27,754,"Clayton"
"150",2087500,1927-12-28,704,"Clayton"
"151",2087500,1927-12-29,754,"Clayton"
"152",2087500,1927-12-30,805,"Clayton"
"153",2087500,1927-12-31,857,"Clayton"
"154",2087500,1928-01-01,1080,"Clayton"
"155",2087500,1928-01-02,1130,"Clayton"
"156",2087500,1928-01-03,1020,"Clayton"
"157",2087500,1928-01-04,857,"Clayton"
"158",2087500,1928-01-05,754,"Clayton"
"159",2087500,1928-01-06,805,"Clayton"
"160",2087500,1928-01-07,654,"Clayton"
