"","site_no","datetime","discharge_mean","gage"
"1",2089000,1930-03-01,2230,"Goldsboro"
"2",2089000,1930-03-02,2230,"Goldsboro"
"3",2089000,1930-03-03,2280,"Goldsboro"
"4",2089000,1930-03-04,2330,"Goldsboro"
"5",2089000,1930-03-05,2230,"Goldsboro"
"6",2089000,1930-03-06,2080,"Goldsboro"
"7",2089000,1930-03-07,2030,"Goldsboro"
"8",2089000,1930-03-08,2960,"Goldsboro"
"9",2089000,1930-03-09,4380,"Goldsboro"
"10",2089000,1930-03-10,5150,"Goldsboro"
"11",2089000,1930-03-11,5220,"Goldsboro"
"12",2089000,1930-03-12,4380,"Goldsboro"
"13",2089000,1930-03-13,3500,"Goldsboro"
"14",2089000,1930-03-14,2840,"Goldsboro"
"15",2089000,1930-03-15,2380,"Goldsboro"
"16",2089000,1930-03-16,2130,"Goldsboro"
"17",2089000,1930-03-17,1980,"Goldsboro"
"18",2089000,1930-03-18,1900,"Goldsboro"
"19",2089000,1930-03-19,1900,"Goldsboro"
"20",2089000,1930-03-20,1900,"Goldsboro"
"21",2089000,1930-03-21,1900,"Goldsboro"
"22",2089000,1930-03-22,2000,"Goldsboro"
"23",2089000,1930-03-23,2000,"Goldsboro"
"24",2089000,1930-03-24,2000,"Goldsboro"
"25",2089000,1930-03-25,1900,"Goldsboro"
"26",2089000,1930-03-26,1800,"Goldsboro"
"27",2089000,1930-03-27,1800,"Goldsboro"
"28",2089000,1930-03-28,1630,"Goldsboro"
"29",2089000,1930-03-29,1580,"Goldsboro"
"30",2089000,1930-03-30,1580,"Goldsboro"
"31",2089000,1930-03-31,1680,"Goldsboro"
"32",2089000,1930-04-01,1680,"Goldsboro"
"33",2089000,1930-04-02,1530,"Goldsboro"
"34",2089000,1930-04-03,1480,"Goldsboro"
"35",2089000,1930-04-04,1580,"Goldsboro"
"36",2089000,1930-04-05,1980,"Goldsboro"
"37",2089000,1930-04-06,2380,"Goldsboro"
"38",2089000,1930-04-07,2960,"Goldsboro"
"39",2089000,1930-04-08,3680,"Goldsboro"
"40",2089000,1930-04-09,4520,"Goldsboro"
"41",2089000,1930-04-10,4450,"Goldsboro"
"42",2089000,1930-04-11,3440,"Goldsboro"
"43",2089000,1930-04-12,2430,"Goldsboro"
"44",2089000,1930-04-13,2030,"Goldsboro"
"45",2089000,1930-04-14,1780,"Goldsboro"
"46",2089000,1930-04-15,1630,"Goldsboro"
"47",2089000,1930-04-16,1530,"Goldsboro"
"48",2089000,1930-04-17,1480,"Goldsboro"
"49",2089000,1930-04-18,1630,"Goldsboro"
"50",2089000,1930-04-19,1730,"Goldsboro"
"51",2089000,1930-04-20,2030,"Goldsboro"
"52",2089000,1930-04-21,2780,"Goldsboro"
"53",2089000,1930-04-22,2960,"Goldsboro"
"54",2089000,1930-04-23,2660,"Goldsboro"
"55",2089000,1930-04-24,2080,"Goldsboro"
"56",2089000,1930-04-25,1730,"Goldsboro"
"57",2089000,1930-04-26,1480,"Goldsboro"
"58",2089000,1930-04-27,1280,"Goldsboro"
"59",2089000,1930-04-28,1180,"Goldsboro"
"60",2089000,1930-04-29,1130,"Goldsboro"
"61",2089000,1930-04-30,1080,"Goldsboro"
"62",2089000,1930-05-01,1030,"Goldsboro"
"63",2089000,1930-05-02,1030,"Goldsboro"
"64",2089000,1930-05-03,980,"Goldsboro"
"65",2089000,1930-05-04,890,"Goldsboro"
"66",2089000,1930-05-05,810,"Goldsboro"
"67",2089000,1930-05-06,810,"Goldsboro"
"68",2089000,1930-05-07,770,"Goldsboro"
"69",2089000,1930-05-08,730,"Goldsboro"
"70",2089000,1930-05-09,690,"Goldsboro"
"71",2089000,1930-05-10,730,"Goldsboro"
"72",2089000,1930-05-11,730,"Goldsboro"
"73",2089000,1930-05-12,650,"Goldsboro"
"74",2089000,1930-05-13,610,"Goldsboro"
"75",2089000,1930-05-14,650,"Goldsboro"
"76",2089000,1930-05-15,810,"Goldsboro"
"77",2089000,1930-05-16,930,"Goldsboro"
"78",2089000,1930-05-17,1180,"Goldsboro"
"79",2089000,1930-05-18,1280,"Goldsboro"
"80",2089000,1930-05-19,1080,"Goldsboro"
"81",2089000,1930-05-20,890,"Goldsboro"
"82",2089000,1930-05-21,770,"Goldsboro"
"83",2089000,1930-05-22,730,"Goldsboro"
"84",2089000,1930-05-23,980,"Goldsboro"
"85",2089000,1930-05-24,890,"Goldsboro"
"86",2089000,1930-05-25,810,"Goldsboro"
"87",2089000,1930-05-26,730,"Goldsboro"
"88",2089000,1930-05-27,650,"Goldsboro"
"89",2089000,1930-05-28,574,"Goldsboro"
"90",2089000,1930-05-29,506,"Goldsboro"
"91",2089000,1930-05-30,506,"Goldsboro"
"92",2089000,1930-05-31,650,"Goldsboro"
"93",2089000,1930-06-01,810,"Goldsboro"
"94",2089000,1930-06-02,730,"Goldsboro"
"95",2089000,1930-06-03,574,"Goldsboro"
"96",2089000,1930-06-04,540,"Goldsboro"
"97",2089000,1930-06-05,506,"Goldsboro"
"98",2089000,1930-06-06,474,"Goldsboro"
"99",2089000,1930-06-07,574,"Goldsboro"
"100",2089000,1930-06-08,890,"Goldsboro"
"101",2089000,1930-06-09,1980,"Goldsboro"
"102",2089000,1930-06-10,3380,"Goldsboro"
"103",2089000,1930-06-11,4240,"Goldsboro"
"104",2089000,1930-06-12,4730,"Goldsboro"
"105",2089000,1930-06-13,4380,"Goldsboro"
"106",2089000,1930-06-14,3860,"Goldsboro"
"107",2089000,1930-06-15,3260,"Goldsboro"
"108",2089000,1930-06-16,2380,"Goldsboro"
"109",2089000,1930-06-17,1880,"Goldsboro"
"110",2089000,1930-06-18,1580,"Goldsboro"
"111",2089000,1930-06-19,2130,"Goldsboro"
"112",2089000,1930-06-20,3620,"Goldsboro"
"113",2089000,1930-06-21,4660,"Goldsboro"
"114",2089000,1930-06-22,5290,"Goldsboro"
"115",2089000,1930-06-23,4100,"Goldsboro"
"116",2089000,1930-06-24,1980,"Goldsboro"
"117",2089000,1930-06-25,1080,"Goldsboro"
"118",2089000,1930-06-26,890,"Goldsboro"
"119",2089000,1930-06-27,850,"Goldsboro"
"120",2089000,1930-06-28,770,"Goldsboro"
"121",2089000,1930-06-29,770,"Goldsboro"
"122",2089000,1930-06-30,690,"Goldsboro"
"123",2089000,1930-07-01,690,"Goldsboro"
"124",2089000,1930-07-02,650,"Goldsboro"
"125",2089000,1930-07-03,650,"Goldsboro"
"126",2089000,1930-07-04,690,"Goldsboro"
"127",2089000,1930-07-05,850,"Goldsboro"
"128",2089000,1930-07-06,810,"Goldsboro"
"129",2089000,1930-07-07,690,"Goldsboro"
"130",2089000,1930-07-08,574,"Goldsboro"
"131",2089000,1930-07-09,540,"Goldsboro"
"132",2089000,1930-07-10,506,"Goldsboro"
"133",2089000,1930-07-11,442,"Goldsboro"
"134",2089000,1930-07-12,412,"Goldsboro"
"135",2089000,1930-07-13,384,"Goldsboro"
"136",2089000,1930-07-14,358,"Goldsboro"
"137",2089000,1930-07-15,506,"Goldsboro"
"138",2089000,1930-07-16,810,"Goldsboro"
"139",2089000,1930-07-17,980,"Goldsboro"
"140",2089000,1930-07-18,1580,"Goldsboro"
"141",2089000,1930-07-19,1780,"Goldsboro"
"142",2089000,1930-07-20,1880,"Goldsboro"
"143",2089000,1930-07-21,2600,"Goldsboro"
"144",2089000,1930-07-22,3140,"Goldsboro"
"145",2089000,1930-07-23,2280,"Goldsboro"
"146",2089000,1930-07-24,1280,"Goldsboro"
"147",2089000,1930-07-25,1030,"Goldsboro"
"148",2089000,1930-07-26,1130,"Goldsboro"
"149",2089000,1930-07-27,850,"Goldsboro"
"150",2089000,1930-07-28,730,"Goldsboro"
"151",2089000,1930-07-29,650,"Goldsboro"
"152",2089000,1930-07-30,574,"Goldsboro"
"153",2089000,1930-07-31,540,"Goldsboro"
"154",2089000,1930-08-01,540,"Goldsboro"
"155",2089000,1930-08-02,650,"Goldsboro"
"156",2089000,1930-08-03,770,"Goldsboro"
"157",2089000,1930-08-04,850,"Goldsboro"
"158",2089000,1930-08-05,650,"Goldsboro"
"159",2089000,1930-08-06,506,"Goldsboro"
"160",2089000,1930-08-07,442,"Goldsboro"
"161",2089000,1930-08-08,384,"Goldsboro"
