"","site_no","datetime","discharge_mean","gage"
"1",2089500,1930-03-01,2710,"Kinston"
"2",2089500,1930-03-02,2660,"Kinston"
"3",2089500,1930-03-03,2600,"Kinston"
"4",2089500,1930-03-04,2600,"Kinston"
"5",2089500,1930-03-05,2540,"Kinston"
"6",2089500,1930-03-06,2490,"Kinston"
"7",2089500,1930-03-07,2440,"Kinston"
"8",2089500,1930-03-08,2540,"Kinston"
"9",2089500,1930-03-09,3160,"Kinston"
"10",2089500,1930-03-10,3700,"Kinston"
"11",2089500,1930-03-11,3940,"Kinston"
"12",2089500,1930-03-12,4780,"Kinston"
"13",2089500,1930-03-13,4780,"Kinston"
"14",2089500,1930-03-14,4140,"Kinston"
"15",2089500,1930-03-15,3400,"Kinston"
"16",2089500,1930-03-16,2760,"Kinston"
"17",2089500,1930-03-17,2390,"Kinston"
"18",2089500,1930-03-18,2290,"Kinston"
"19",2089500,1930-03-19,2240,"Kinston"
"20",2089500,1930-03-20,2240,"Kinston"
"21",2089500,1930-03-21,2290,"Kinston"
"22",2089500,1930-03-22,2390,"Kinston"
"23",2089500,1930-03-23,2390,"Kinston"
"24",2089500,1930-03-24,2340,"Kinston"
"25",2089500,1930-03-25,2340,"Kinston"
"26",2089500,1930-03-26,2340,"Kinston"
"27",2089500,1930-03-27,2290,"Kinston"
"28",2089500,1930-03-28,2240,"Kinston"
"29",2089500,1930-03-29,2140,"Kinston"
"30",2089500,1930-03-30,1990,"Kinston"
"31",2089500,1930-03-31,1840,"Kinston"
"32",2089500,1930-04-01,1790,"Kinston"
"33",2089500,1930-04-02,1840,"Kinston"
"34",2089500,1930-04-03,1790,"Kinston"
"35",2089500,1930-04-04,1790,"Kinston"
"36",2089500,1930-04-05,1840,"Kinston"
"37",2089500,1930-04-06,2140,"Kinston"
"38",2089500,1930-04-07,2600,"Kinston"
"39",2089500,1930-04-08,2880,"Kinston"
"40",2089500,1930-04-09,3280,"Kinston"
"41",2089500,1930-04-10,3820,"Kinston"
"42",2089500,1930-04-11,4140,"Kinston"
"43",2089500,1930-04-12,3880,"Kinston"
"44",2089500,1930-04-13,2880,"Kinston"
"45",2089500,1930-04-14,2290,"Kinston"
"46",2089500,1930-04-15,2040,"Kinston"
"47",2089500,1930-04-16,1840,"Kinston"
"48",2089500,1930-04-17,1940,"Kinston"
"49",2089500,1930-04-18,1990,"Kinston"
"50",2089500,1930-04-19,1890,"Kinston"
"51",2089500,1930-04-20,2090,"Kinston"
"52",2089500,1930-04-21,2240,"Kinston"
"53",2089500,1930-04-22,2660,"Kinston"
"54",2089500,1930-04-23,2930,"Kinston"
"55",2089500,1930-04-24,2820,"Kinston"
"56",2089500,1930-04-25,2390,"Kinston"
"57",2089500,1930-04-26,1990,"Kinston"
"58",2089500,1930-04-27,1740,"Kinston"
"59",2089500,1930-04-28,1560,"Kinston"
"60",2089500,1930-04-29,1420,"Kinston"
"61",2089500,1930-04-30,1380,"Kinston"
"62",2089500,1930-05-01,1340,"Kinston"
"63",2089500,1930-05-02,1300,"Kinston"
"64",2089500,1930-05-03,1260,"Kinston"
"65",2089500,1930-05-04,1220,"Kinston"
"66",2089500,1930-05-05,1100,"Kinston"
"67",2089500,1930-05-06,1100,"Kinston"
"68",2089500,1930-05-07,1030,"Kinston"
"69",2089500,1930-05-08,996,"Kinston"
"70",2089500,1930-05-09,960,"Kinston"
"71",2089500,1930-05-10,960,"Kinston"
"72",2089500,1930-05-11,960,"Kinston"
"73",2089500,1930-05-12,926,"Kinston"
"74",2089500,1930-05-13,926,"Kinston"
"75",2089500,1930-05-14,926,"Kinston"
"76",2089500,1930-05-15,960,"Kinston"
"77",2089500,1930-05-16,1030,"Kinston"
"78",2089500,1930-05-17,1100,"Kinston"
"79",2089500,1930-05-18,1260,"Kinston"
"80",2089500,1930-05-19,1340,"Kinston"
"81",2089500,1930-05-20,1340,"Kinston"
"82",2089500,1930-05-21,1140,"Kinston"
"83",2089500,1930-05-22,996,"Kinston"
"84",2089500,1930-05-23,926,"Kinston"
"85",2089500,1930-05-24,1030,"Kinston"
"86",2089500,1930-05-25,1100,"Kinston"
"87",2089500,1930-05-26,996,"Kinston"
"88",2089500,1930-05-27,926,"Kinston"
"89",2089500,1930-05-28,858,"Kinston"
"90",2089500,1930-05-29,824,"Kinston"
"91",2089500,1930-05-30,758,"Kinston"
"92",2089500,1930-05-31,758,"Kinston"
"93",2089500,1930-06-01,758,"Kinston"
"94",2089500,1930-06-02,892,"Kinston"
"95",2089500,1930-06-03,926,"Kinston"
"96",2089500,1930-06-04,790,"Kinston"
