# ---------------------------------- WARNING ----------------------------------------								
# Some of the data that you have obtained from this U.S. Geological Survey database								
# may not have received Director's approval. Any such data values are qualified								
# as provisional and are subject to revision. Provisional data are released on the								
# condition that neither the USGS nor the United States Government may be held liable								
# for any damages resulting from its use.								
#								
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement								
#								
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output								
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals								
#								
# Contact:   gs-w_support_nwisweb@usgs.gov								
# retrieved: 2021-04-04 23:16:06 EDT       (caww01)								
#								
# Data for the following 1 site(s) are contained in this file								
"#    USGS 02087500 NEUSE RIVER NEAR CLAYTON, NC"								
# -----------------------------------------------------------------------------------								
agency_cd	site_no	datetime	" Discharge, cubic feet per second (Maximum)"	"Discharge, cubic feet per second (Minimum)"	"Discharge, cubic feet per second (Minimum)"	"Gage height, feet (Maximum)"	"Gage height, feet (Minimum)"	" Gage height, feet (Mean)"
USGS	2087500	8/1/1927			540			
USGS	2087500	8/2/1927			1760			
USGS	2087500	8/3/1927			1080			
USGS	2087500	8/4/1927			1250			
USGS	2087500	8/5/1927			2020			
USGS	2087500	8/6/1927			1190			
USGS	2087500	8/7/1927			511			
USGS	2087500	8/8/1927			366			
USGS	2087500	8/9/1927			557			
USGS	2087500	8/10/1927			704			
USGS	2087500	8/11/1927			704			
USGS	2087500	8/12/1927			489			
USGS	2087500	8/13/1927			366			
USGS	2087500	8/14/1927			270			
USGS	2087500	8/15/1927			205			
USGS	2087500	8/16/1927			252			
USGS	2087500	8/17/1927			179			
USGS	2087500	8/18/1927			155			
USGS	2087500	8/19/1927			346			
USGS	2087500	8/20/1927			489			
USGS	2087500	8/21/1927			254			
USGS	2087500	8/22/1927			423			
USGS	2087500	8/23/1927			805			
USGS	2087500	8/24/1927			446			
USGS	2087500	8/25/1927			1370			
USGS	2087500	8/26/1927			6540			
USGS	2087500	8/27/1927			4190			
USGS	2087500	8/28/1927			1820			
USGS	2087500	8/29/1927			1080			
USGS	2087500	8/30/1927			704			
USGS	2087500	8/31/1927			605			
USGS	2087500	9/1/1927			1200			
USGS	2087500	9/2/1927			1640			
USGS	2087500	9/3/1927			1640			
USGS	2087500	9/4/1927			2080			
USGS	2087500	9/5/1927			1130			
USGS	2087500	9/6/1927			630			
USGS	2087500	9/7/1927			511			
USGS	2087500	9/8/1927			511			
USGS	2087500	9/9/1927			1030			
USGS	2087500	9/10/1927			1430			
USGS	2087500	9/11/1927			964			
USGS	2087500	9/12/1927			630			
USGS	2087500	9/13/1927			446			
USGS	2087500	9/14/1927			346			
USGS	2087500	9/15/1927			346			
USGS	2087500	9/16/1927			308			
USGS	2087500	9/17/1927			290			
USGS	2087500	9/18/1927			290			
USGS	2087500	9/19/1927			252			
USGS	2087500	9/20/1927			308			
USGS	2087500	9/21/1927			308			
USGS	2087500	9/22/1927			366			
USGS	2087500	9/23/1927			385			
USGS	2087500	9/24/1927			308			
USGS	2087500	9/25/1927			270			
USGS	2087500	9/26/1927			235			
USGS	2087500	9/27/1927			252			
USGS	2087500	9/28/1927			205			
USGS	2087500	9/29/1927			205			
USGS	2087500	9/30/1927			235			
